prefijo,porcentaje_a,archivo_a,porcentaje_b,archivo_b,dimension,distancia
WIDSL,80,persistencia_WIDSL_componente_2.csv,100,persistencia_WIDSL_componente_3.csv,0,0.008032468
WIDSL,80,persistencia_WIDSL_componente_2.csv,100,persistencia_WIDSL_componente_3.csv,1,0.003191354
WIDSL,80,persistencia_WIDSL_componente_2.csv,100,persistencia_WIDSL_componente_3.csv,2,0.00018055078
WIDSL,80,persistencia_WIDSL_componente_2.csv,100,persistencia_WIDSL_componente_10.csv,0,0.0121141905
WIDSL,80,persistencia_WIDSL_componente_2.csv,100,persistencia_WIDSL_componente_10.csv,1,0.004016466
WIDSL,80,persistencia_WIDSL_componente_5.csv,80,persistencia_WIDSL_componente_2.csv,0,0.023735084
WIDSL,80,persistencia_WIDSL_componente_5.csv,80,persistencia_WIDSL_componente_2.csv,1,0.004425499
WIDSL,80,persistencia_WIDSL_componente_5.csv,80,persistencia_WIDSL_componente_2.csv,2,0.00023408514
WIDSL,80,persistencia_WIDSL_componente_5.csv,80,persistencia_WIDSL_componente_5.csv,0,7.54906e-07
WIDSL,80,persistencia_WIDSL_componente_5.csv,80,persistencia_WIDSL_componente_5.csv,1,0.0
WIDSL,80,persistencia_WIDSL_componente_5.csv,80,persistencia_WIDSL_componente_5.csv,2,0.0
WIDSL,80,persistencia_WIDSL_componente_5.csv,80,persistencia_WIDSL_componente_8.csv,0,0.027573284
WIDSL,80,persistencia_WIDSL_componente_5.csv,80,persistencia_WIDSL_componente_8.csv,1,0.0017154699
WIDSL,80,persistencia_WIDSL_componente_5.csv,80,persistencia_WIDSL_componente_8.csv,2,0.00028356607
WIDSL,80,persistencia_WIDSL_componente_5.csv,90,persistencia_WIDSL_componente_4.csv,0,0.010506103
WIDSL,80,persistencia_WIDSL_componente_5.csv,90,persistencia_WIDSL_componente_4.csv,1,0.0015987122
WIDSL,80,persistencia_WIDSL_componente_5.csv,90,persistencia_WIDSL_componente_4.csv,2,0.00024933682
WIDSL,80,persistencia_WIDSL_componente_5.csv,90,persistencia_WIDSL_componente_2.csv,0,0.004278401
WIDSL,80,persistencia_WIDSL_componente_5.csv,90,persistencia_WIDSL_componente_2.csv,1,0.0017144037
WIDSL,80,persistencia_WIDSL_componente_5.csv,90,persistencia_WIDSL_componente_2.csv,2,0.00024744208
WIDSL,80,persistencia_WIDSL_componente_5.csv,90,persistencia_WIDSL_componente_5.csv,0,0.020829407
WIDSL,80,persistencia_WIDSL_componente_5.csv,90,persistencia_WIDSL_componente_5.csv,1,0.0017037338
WIDSL,80,persistencia_WIDSL_componente_5.csv,90,persistencia_WIDSL_componente_5.csv,2,0.00024816545
WIDSL,80,persistencia_WIDSL_componente_5.csv,100,persistencia_WIDSL_componente_3.csv,0,0.02155087
WIDSL,80,persistencia_WIDSL_componente_5.csv,100,persistencia_WIDSL_componente_3.csv,1,0.0020494242
WIDSL,80,persistencia_WIDSL_componente_5.csv,100,persistencia_WIDSL_componente_3.csv,2,0.00025086076
WIDSL,80,persistencia_WIDSL_componente_5.csv,100,persistencia_WIDSL_componente_10.csv,0,0.024669588
WIDSL,80,persistencia_WIDSL_componente_5.csv,100,persistencia_WIDSL_componente_10.csv,1,0.002118168
WIDSL,80,persistencia_WIDSL_componente_8.csv,80,persistencia_WIDSL_componente_2.csv,0,0.009983316
